id,amount,type,category,date,paymentMethod,description
1,30000.0,INCOME,"Salary",2026-06-01,Bank Transfer,"Salary"
2,2500.0,EXPENSE,"Food",2026-06-03,Cash,"Grocery Shopping"
3,1200.0,EXPENSE,"Travel",2026-06-06,UPI,"Cab and Metro"
4,800.0,EXPENSE,"Entertainment",2026-06-06,UPI,"Movie"
5,3000.0,EXPENSE,"Shopping",2026-06-14,UPI,"Clothes"
6,1800.0,EXPENSE,"Food",2026-06-15,UPI,"Restraunt"
7,30000.0,INCOME,"Salary",2026-07-01,Bank Transfer,"Monthly Income"
8,2800.0,EXPENSE,"Food",2026-07-03,UPI,"Groceries"
9,1500.0,EXPENSE,"Food",2026-07-05,UPI,"Travel"
10,5000.0,EXPENSE,"Shopping",2026-07-08,UPI,"Electronics"
11,3000.0,EXPENSE,"Entertainment",2026-07-10,UPI,"Games"
12,30000.0,INCOME,"Salary",2026-08-01,Bank Transfer,"Monthly Income"
13,2800.0,EXPENSE,"Food",2026-08-03,UPI,"Groceries"
14,1700.0,EXPENSE,"Travel",2026-08-05,UPI,"Cab"
15,4000.0,EXPENSE,"Shopping",2026-08-10,UPI,"Accesories"
16,1500.0,EXPENSE,"Entertainment",2026-08-16,UPI,"Subscription's"
17,30000.0,INCOME,"Salary",2026-09-01,Bank Transfer,"Monthly Salary"
18,4000.0,EXPENSE,"Food",2026-09-04,UPI,"Groceries"
19,1800.0,EXPENSE,"Travel",2026-09-15,UPI,"Travel"
20,10000.0,EXPENSE,"Shopping",2026-09-15,Card,"Purchases"
